"","Sample.ID","Haplotype","Species"
"1","1648","Haplotype 1a","P. grandis"
"2","1648","Haplotype 1a","P. meandrina"
"3","1690","Haplotype 2","P. effusa"
"4","1690","Haplotype 11","P. effusa"
"5","1714","Haplotype 11","P. effusa"
"6","1714","Haplotype 1a","P. meandrina"
"7","1864","Haplotype 1a","P. meandrina"
"8","1864","Haplotype 1a","P. grandis"
"9","2029","Haplotype 10","P. tuahiniensis"
"10","2029","Haplotype 1a","P. meandrina"
"11","2090","Haplotype 11","P. effusa"
"12","2090","Haplotype 3","P. verrucosa"
"13","3224","Haplotype 1a","P. meandrina"
"14","3224","Haplotype 1a","P. meandrina"
"15","3834","Haplotype 1a","P. meandrina"
"16","3834","Haplotype 1a","P. meandrina"
"17","419","Haplotype 11","P. effusa"
"18","419","Haplotype 11","P. effusa"
"19","430","Haplotype 11","P. effusa"
"20","430","Haplotype 10","P. tuahiniensis"
"21","620","Haplotype 2","P. effusa"
"22","620","Haplotype 1a","P. meandrina"
"23","781","Haplotype 11","P. effusa"
"24","781","Haplotype 1a","P. meandrina"
